Path,True Label,Predicted Label,Confidence
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000761.png,fake,real,0.7124
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000762.png,fake,real,0.6689
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000763.png,fake,real,0.7354
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000764.png,fake,real,0.6367
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000765.png,fake,real,0.7559
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000766.png,fake,real,0.9082
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000767.png,fake,real,0.7354
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000768.png,fake,real,0.9097
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000772.png,fake,real,0.8066
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000773.png,fake,real,0.6040
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000774.png,fake,real,0.8535
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000776.png,fake,real,0.8115
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000777.png,fake,real,0.6133
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000779.png,fake,real,0.7598
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000780.png,fake,real,0.7388
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000784.png,fake,real,0.6582
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000785.png,fake,real,0.7402
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000786.png,fake,real,0.7217
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000787.png,fake,real,0.6465
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000789.png,fake,real,0.7207
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000790.png,fake,real,0.7256
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000792.png,fake,real,0.7021
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000793.png,fake,real,0.8145
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000794.png,fake,real,0.6797
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000795.png,fake,real,0.6484
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000796.png,fake,real,0.7510
/workspace/Deepfake_Detection/data_preprocessing/asvsproof_data/test/fake/D_1000797.png,fake,real,0.5845
