sample_id,true_label,face_prob,audio_prob,final_prob,case
sample_0000,real,0.2762044270833333,0.62353515625,0.4325032552083333,Face Real Voice Fake Final Real
sample_0008,real,0.3037109375,0.6142578125,0.44345703125,Face Real Voice Fake Final Real
sample_0028,real,0.4599609375,0.51806640625,0.4861083984375,Face Real Voice Fake Final Real
sample_0029,real,0.3189290364583333,0.59716796875,0.44413655598958335,Face Real Voice Fake Final Real
sample_0031,real,0.3495279947916667,0.64697265625,0.4833780924479167,Face Real Voice Fake Final Real
sample_0033,real,0.3895670572916667,0.61083984375,0.4891398111979167,Face Real Voice Fake Final Real
sample_0037,real,0.2211507161458333,0.55859375,0.37300008138020835,Face Real Voice Fake Final Real
sample_0050,real,0.2915445963541667,0.517578125,0.3932596842447917,Face Real Voice Fake Final Real
sample_0054,real,0.3474934895833333,0.556640625,0.44160970052083337,Face Real Voice Fake Final Real
sample_0057,real,0.3531087239583333,0.61962890625,0.47304280598958337,Face Real Voice Fake Final Real
sample_0062,real,0.423828125,0.5673828125,0.488427734375,Face Real Voice Fake Final Real
sample_0065,real,0.2432047526041666,0.51220703125,0.36425577799479164,Face Real Voice Fake Final Real
sample_0069,real,0.2777913411458333,0.697265625,0.46655476888020836,Face Real Voice Fake Final Real
sample_0073,real,0.2532552083333333,0.57373046875,0.3974690755208333,Face Real Voice Fake Final Real
sample_0081,real,0.3379720052083333,0.5615234375,0.4385701497395833,Face Real Voice Fake Final Real
sample_0082,real,0.1839599609375,0.5966796875,0.369683837890625,Face Real Voice Fake Final Real
sample_0086,real,0.2655029296875,0.69970703125,0.460894775390625,Face Real Voice Fake Final Real
sample_0087,real,0.436279296875,0.51220703125,0.47044677734375,Face Real Voice Fake Final Real
sample_0088,real,0.3933919270833333,0.6005859375,0.48662923177083334,Face Real Voice Fake Final Real
sample_0095,real,0.3846842447916667,0.55322265625,0.4605265299479167,Face Real Voice Fake Final Real
sample_0096,real,0.345458984375,0.68017578125,0.49608154296875007,Face Real Voice Fake Final Real
sample_0105,real,0.3785807291666667,0.58935546875,0.4734293619791667,Face Real Voice Fake Final Real
sample_0110,real,0.2909749348958333,0.59228515625,0.42656453450520837,Face Real Voice Fake Final Real
sample_0115,real,0.3439127604166667,0.56103515625,0.4416178385416667,Face Real Voice Fake Final Real
sample_0117,real,0.36669921875,0.55712890625,0.452392578125,Face Real Voice Fake Final Real
sample_0122,real,0.2984212239583333,0.54248046875,0.40824788411458335,Face Real Voice Fake Final Real
sample_0124,real,0.34423828125,0.51416015625,0.42070312500000007,Face Real Voice Fake Final Real
sample_0129,real,0.3153076171875,0.68994140625,0.483892822265625,Face Real Voice Fake Final Real
