image_path,true_label,predicted_label,confidence,probability
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__outside_talking_still_laughing__YVGY8LOK\frame13.jpg,fake,real,0.54833984375,0.45166015625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__secret_conversation__YVGY8LOK\frame14.jpg,fake,real,0.57275390625,0.42724609375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__secret_conversation__YVGY8LOK\frame3.jpg,fake,real,0.514892578125,0.485107421875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame0.jpg,fake,real,0.8143310546875,0.1856689453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame1.jpg,fake,real,0.9130859375,0.0869140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.662353515625,0.337646484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.71923828125,0.28076171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame2.jpg,fake,real,0.79248046875,0.20751953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame3.jpg,fake,real,0.55078125,0.44921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame6.jpg,fake,real,0.52587890625,0.47412109375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame7.jpg,fake,real,0.646240234375,0.353759765625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame8.jpg,fake,real,0.7177734375,0.2822265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.637451171875,0.362548828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__kitchen_pan__GBC7ZGDP\frame0.jpg,fake,real,0.564453125,0.435546875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__walk_down_hall_angry__0XUW13RW\frame1.jpg,fake,real,0.647705078125,0.352294921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame11.jpg,fake,real,0.587890625,0.412109375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame14.jpg,fake,real,0.610595703125,0.389404296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame2.jpg,fake,real,0.607177734375,0.392822265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame3.jpg,fake,real,0.530029296875,0.469970703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame9.jpg,fake,real,0.533203125,0.466796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame6.jpg,fake,real,0.50146484375,0.49853515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame7.jpg,fake,real,0.546142578125,0.453857421875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame1.jpg,fake,real,0.53271484375,0.46728515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame3.jpg,fake,real,0.8134765625,0.1865234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame6.jpg,fake,real,0.68896484375,0.31103515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__walking_and_outside_surprised__OTGHOG4Z\frame1.jpg,fake,real,0.586669921875,0.413330078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__walking_and_outside_surprised__OTGHOG4Z\frame2.jpg,fake,real,0.692626953125,0.307373046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__kitchen_pan__03X7CELV\frame0.jpg,fake,real,0.561279296875,0.438720703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__secret_conversation__03X7CELV\frame10.jpg,fake,real,0.594482421875,0.405517578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__secret_conversation__03X7CELV\frame14.jpg,fake,real,0.53955078125,0.46044921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__secret_conversation__03X7CELV\frame9.jpg,fake,real,0.63037109375,0.36962890625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame12.jpg,fake,real,0.52197265625,0.47802734375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame2.jpg,fake,real,0.528076171875,0.471923828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame6.jpg,fake,real,0.518310546875,0.481689453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame10.jpg,fake,real,0.61328125,0.38671875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.801513671875,0.198486328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame12.jpg,fake,real,0.635498046875,0.364501953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.690185546875,0.309814453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.72802734375,0.27197265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame10.jpg,fake,real,0.57080078125,0.42919921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame12.jpg,fake,real,0.64990234375,0.35009765625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame14.jpg,fake,real,0.694580078125,0.305419921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame3.jpg,fake,real,0.543701171875,0.456298828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame8.jpg,fake,real,0.59228515625,0.40771484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__meeting_serious__1H07DFQJ\frame3.jpg,fake,real,0.511474609375,0.488525390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__talking_angry_couch__1VMZUH1W\frame8.jpg,fake,real,0.6005859375,0.3994140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_09__meeting_serious__9TDCEK1Q\frame6.jpg,fake,real,0.505859375,0.494140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_13__secret_conversation__PLNVLO74\frame3.jpg,fake,real,0.590087890625,0.409912109375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_14__secret_conversation__3IUBEKCT\frame5.jpg,fake,real,0.56640625,0.43359375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_outside_cafe_disgusted__Z7FQ69VP\frame0.jpg,fake,real,0.507080078125,0.492919921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame11.jpg,fake,real,0.612060546875,0.387939453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame12.jpg,fake,real,0.67578125,0.32421875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame14.jpg,fake,real,0.610107421875,0.389892578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame4.jpg,fake,real,0.610107421875,0.389892578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame5.jpg,fake,real,0.7813720703125,0.2186279296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame7.jpg,fake,real,0.7138671875,0.2861328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame8.jpg,fake,real,0.538330078125,0.461669921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame9.jpg,fake,real,0.770263671875,0.229736328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_down_street_outside_angry__QH3Y0IG0\frame9.jpg,fake,real,0.543212890625,0.456787109375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_06__walking_down_street_outside_angry__1IXGY2FK\frame8.jpg,fake,real,0.621826171875,0.378173828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_06__walking_down_street_outside_angry__1IXGY2FK\frame9.jpg,fake,real,0.540771484375,0.459228515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame0.jpg,fake,real,0.634033203125,0.365966796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame1.jpg,fake,real,0.511474609375,0.488525390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame2.jpg,fake,real,0.53857421875,0.46142578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_11__exit_phone_room__P08VGHTA\frame10.jpg,fake,real,0.625732421875,0.374267578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__meeting_serious__L0GHYIFS\frame0.jpg,fake,real,0.522705078125,0.477294921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__meeting_serious__L0GHYIFS\frame14.jpg,fake,real,0.53564453125,0.46435546875
