sample_id,label,face_prob_avg
sample_0000,real,0.2762044270833333
sample_0001,real,0.4903157552083333
sample_0002,real,0.16933186848958334
sample_0003,real,0.2916666666666667
sample_0004,real,0.524169921875
sample_0005,real,0.404296875
sample_0006,real,0.3890787760416667
sample_0007,real,0.32568359375
sample_0008,real,0.3037109375
sample_0009,real,0.5870768229166666
sample_0010,real,0.3473307291666667
sample_0011,real,0.65234375
sample_0012,real,0.3915201822916667
sample_0013,real,0.3885904947916667
sample_0014,real,0.3693033854166667
sample_0015,real,0.4269205729166667
sample_0016,real,0.3856608072916667
sample_0017,real,0.3922526041666667
sample_0018,real,0.5869140625
sample_0019,real,0.2589518229166667
sample_0020,real,0.45654296875
sample_0021,real,0.433837890625
sample_0022,real,0.3170572916666667
sample_0023,real,0.5143229166666666
sample_0024,real,0.3230794270833333
sample_0025,real,0.4510904947916667
sample_0026,real,0.4083658854166667
sample_0027,real,0.6901041666666666
sample_0028,real,0.4599609375
sample_0029,real,0.3189290364583333
sample_0030,real,0.2481689453125
sample_0031,real,0.3495279947916667
sample_0032,real,0.3388264973958333
sample_0033,real,0.3895670572916667
sample_0034,real,0.4886067708333333
sample_0035,real,0.3052571614583333
sample_0036,real,0.489013671875
sample_0037,real,0.22115071614583334
sample_0038,real,0.486328125
sample_0039,real,0.521240234375
sample_0040,real,0.4591471354166667
sample_0041,real,0.40673828125
sample_0042,real,0.4449055989583333
sample_0043,real,0.24019368489583334
sample_0044,real,0.5416666666666666
sample_0045,real,0.552001953125
sample_0046,real,0.507568359375
sample_0047,real,0.4446614583333333
sample_0048,real,0.5589192708333334
sample_0049,real,0.220458984375
sample_0050,real,0.2915445963541667
sample_0051,real,0.21431477864583334
sample_0052,real,0.3827311197916667
sample_0053,real,0.44091796875
sample_0054,real,0.3474934895833333
sample_0055,real,0.41796875
sample_0056,real,0.315185546875
sample_0057,real,0.3531087239583333
sample_0058,real,0.4273274739583333
sample_0059,real,0.61328125
sample_0060,real,0.4620768229166667
sample_0061,real,0.39501953125
sample_0062,real,0.423828125
sample_0063,real,0.4563802083333333
sample_0064,real,0.4357096354166667
