error_type,sample_index,image_path,actual_label,predicted_label,confidence
fake_as_real,30,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_361_448_frame1.jpg,fake,real,0.6674020886421204
fake_as_real,33,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_692_610_frame7.jpg,fake,real,0.5066042542457581
fake_as_real,38,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_12_07__walking_down_indoor_hall_disgust__KAG65PEE_frame0.jpg,fake,real,0.6491880118846893
fake_as_real,79,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_101_096_frame7.jpg,fake,real,0.7954770624637604
fake_as_real,80,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_20_12__walking_down_indoor_hall_disgust__GHPWDH3C_frame6.jpg,fake,real,0.6968381404876709
fake_as_real,111,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_18_11__outside_talking_pan_laughing__TRJUIS24_frame2.jpg,fake,real,0.5397104322910309
fake_as_real,114,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_764_850_frame9.jpg,fake,real,0.7269349098205566
fake_as_real,125,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_647_622_frame6.jpg,fake,real,0.5706238746643066
fake_as_real,168,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_274_412_frame2.jpg,fake,real,0.7907657027244568
fake_as_real,182,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_069_961_frame3.jpg,fake,real,0.811586394906044
fake_as_real,185,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_536_540_frame0.jpg,fake,real,0.5350778102874756
fake_as_real,196,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_984_967_frame9.jpg,fake,real,0.7717393487691879
fake_as_real,210,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_562_626_frame8.jpg,fake,real,0.7043045461177826
fake_as_real,213,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_683_607_frame1.jpg,fake,real,0.6172265410423279
fake_as_real,218,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_07_12__podium_speech_happy__X9X7FAZG_frame8.jpg,fake,real,0.6433783173561096
fake_as_real,245,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_346_351_frame5.jpg,fake,real,0.533839225769043
fake_as_real,254,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_301_262_frame8.jpg,fake,real,0.6090953350067139
fake_as_real,272,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_765_867_frame6.jpg,fake,real,0.7078555822372437
fake_as_real,297,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_144_122_frame5.jpg,fake,real,0.64923295378685
fake_as_real,320,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_974_953_frame7.jpg,fake,real,0.680199146270752
fake_as_real,321,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_651_835_frame5.jpg,fake,real,0.5847776234149933
fake_as_real,333,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_22_19__walking_down_indoor_hall_disgust__VK6BF5NV_frame4.jpg,fake,real,0.56410151720047
fake_as_real,336,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_22_19__walking_down_indoor_hall_disgust__VK6BF5NV_frame5.jpg,fake,real,0.5803907215595245
fake_as_real,342,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_411_410_frame0.jpg,fake,real,0.6297978162765503
fake_as_real,360,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_652_773_frame1.jpg,fake,real,0.6127581596374512
fake_as_real,406,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_951_947_frame1.jpg,fake,real,0.6675723493099213
fake_as_real,416,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_765_867_frame2.jpg,fake,real,0.7264500856399536
fake_as_real,459,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_227_169_frame6.jpg,fake,real,0.7083794176578522
fake_as_real,497,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_23_24__walking_down_indoor_hall_disgust__MDSDXSNU_frame3.jpg,fake,real,0.6055010557174683
fake_as_real,500,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_526_436_frame2.jpg,fake,real,0.5211848318576813
fake_as_real,537,G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_16_05__walking_down_street_outside_angry__BY646B4R_frame7.jpg,fake,real,0.6770836412906647
